trail_id,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews
10244240,14.3846,14966.862,637.9464,5,out and back,3,4.5,161
10111405,14.3478,26715.044,1139.952,3,out and back,2,4.5,95
10286650,13.8468,21565.156,1496.8728,5,out and back,3,5,73
10031336,13.3343,14644.994,315.7728,3,out and back,2,4.5,100
10031337,12.6285,4667.086,85.9536,3,out and back,2,4,85
10304469,12.5954,2574.944,24.9936,1,out and back,3,4.5,52
10273263,12.4801,28968.12,1518.8184,5,out and back,3,5,39
10000811,12.4222,1609.34,19.812,1,out and back,2,4.5,54
10009957,12.4044,31060.262,1666.9512,7,point to point,3,5,38
10006953,12.393,32186.8,1705.9656,7,out and back,2,4.5,108
10297089,12.3532,9656.04,429.768,7,out and back,2,5,61
10040243,12.302,45061.52,2092.7568,7,out and back,1,4.5,45
10026822,12.0834,6437.36,150.876,1,out and back,,4.5,76
10242023,11.8629,5954.558,36.8808,1,loop,2,4,111
10255289,11.8608,19151.146,592.836,5,out and back,3,5,27
10004435,11.8001,14323.126,729.996,3,out and back,,4.5,103
10258667,11.7107,5954.558,425.8056,3,out and back,2,4.5,69
10236026,11.5545,1448.406,10.9728,1,loop,1,4.5,95
10258648,11.1051,5471.756,528.828,3,out and back,,4.5,39
10257085,11.0836,65822.006,3578.9616,7,point to point,3,5,37
10236022,10.9378,1770.274,11.8872,1,out and back,1,4,61
10018269,10.9165,46027.124,297.7896,3,point to point,2,4.5,52
10265749,10.8324,27841.582,1748.9424,5,point to point,3,5,30
10315767,10.6545,14484.06,1004.9256,5,out and back,2,5,33
10023828,10.3784,88513.7,1601.724,1,point to point,2,4.5,27
10112001,10.3328,3862.416,278.892,3,out and back,2,4,72
10042232,10.2641,46670.86,2213.7624,5,loop,1,5,10
10365390,10.1704,49889.54,1995.8304,7,point to point,3,4.5,48
10267208,10.0467,3701.482,115.824,3,loop,2,4.5,65
10293249,9.9618,11426.314,381.9144,3,loop,2,4.5,60
10258317,9.9197,24622.902,424.8912,1,out and back,3,4.5,28
10002324,9.7326,643.736,10.9728,1,loop,4,4,41
10274527,9.609,2092.142,141.732,1,out and back,1,4,45
10009628,9.5621,7563.898,222.8088,1,loop,2,4,43
10009444,9.227,10138.842,796.7472,5,out and back,1,4.5,26
10251377,9.1802,965.604,10.9728,1,loop,2,4,52
10042018,8.7642,7402.964,134.7216,3,loop,1,4,59
10331092,8.6888,11104.446,801.9288,5,out and back,2,5,25
10002217,8.6324,1287.472,14.9352,1,out and back,1,4,61
10041071,8.6024,16576.202,213.9696,1,loop,2,4,38
10236028,8.5243,3379.614,24.9936,1,loop,2,4,46
10259343,8.5202,21404.222,1611.7824,7,out and back,1,5,30
10306310,8.4605,5954.558,47.8536,3,loop,2,4.5,56
10039522,8.2704,10460.71,160.9344,3,out and back,2,4.5,45
10304719,8.2646,19955.816,1034.796,7,point to point,3,5,24
10032774,8.2525,5310.822,61.8744,1,out and back,,4.5,39
10111504,7.9559,10460.71,345.948,1,loop,2,4.5,28
10246734,7.7075,31060.262,1966.8744,5,point to point,2,5,23
10281018,7.7075,5310.822,281.94,3,out and back,1,4.5,32
10038311,7.6339,1770.274,32.9184,1,loop,1,4,50
10258602,7.5684,160.934,6.7056,1,out and back,2,4.5,24
10011949,7.5414,8046.7,316.992,3,out and back,2,4,35
10298010,7.479,7242.03,295.9608,3,out and back,2,4,20
10302747,7.4072,19312.08,231.9528,1,out and back,3,4.5,31
10259900,7.2569,63086.128,657.7584,1,loop,2,4.5,14
10235597,7.2201,482.802,0.9144,1,loop,1,4,15
10311930,7.1664,3540.548,88.6968,3,out and back,2,4,33
10013382,7.1647,19633.948,1330.7568,7,out and back,1,4.5,10
10236023,7.0465,482.802,2.7432,1,loop,1,4,41
10111280,7.0254,16093.4,155.7528,3,out and back,2,4,35
10258739,6.9609,56005.032,2881.884,5,out and back,1,4.5,18
10023951,6.9456,49406.738,2568.8544,7,out and back,1,4.5,13
10270136,6.9205,12070.05,144.78,3,loop,1,4.5,19
10287374,6.8368,5310.822,23.7744,1,loop,2,4.5,32
10272964,6.8325,8529.502,610.8192,5,out and back,1,5,20
10035690,6.7822,3701.482,106.9848,3,out and back,2,4.5,27
10258650,6.6276,1770.274,93.8784,1,out and back,2,4,18
10258659,6.4591,160.934,0,1,out and back,2,4.5,6
10258654,6.3809,6920.162,179.832,1,out and back,1,4.5,10
10315676,6.3801,3057.746,20.7264,1,loop,1,4,25
10259353,6.3369,49245.804,2673.7056,7,out and back,1,4.5,10
10039514,6.2729,482.802,2.7432,1,loop,2,4,27
10013558,6.1769,20921.42,1506.9312,5,out and back,2,3.5,15
10013912,5.9577,116838.084,3102.864,5,out and back,3,5,7
10272375,5.9341,4184.284,53.9496,1,loop,1,4.5,22
10269962,5.8308,4988.954,91.7448,3,out and back,,4.5,16
10269284,5.7938,1126.538,61.8744,3,out and back,1,4,13
10259355,5.7315,34118.008,1593.7992,5,point to point,1,4.5,7
10013747,5.7162,643.736,4.8768,1,loop,1,4,26
10259354,5.7123,32508.668,1758.696,5,loop,1,5,6
10112153,5.6144,6437.36,149.9616,3,out and back,2,3.5,27
10389448,5.5548,34118.008,1501.7496,5,loop,2,4.5,13
10016910,5.4493,3701.482,36.8808,1,loop,2,3.5,16
10267209,5.3994,6276.426,56.9976,3,loop,2,4,23
10259344,5.3565,25105.704,1569.72,7,point to point,1,5,3
10266285,5.2788,49728.606,3386.9376,7,point to point,3,5,9
10297375,5.2572,1770.274,12.8016,1,out and back,2,4,12
10013255,5.2356,482.802,4.8768,1,loop,2,3,17
10269670,5.0684,2735.878,80.772,1,loop,1,4,18
10384519,5.0517,27036.912,1639.824,5,out and back,2,4.5,3
10263759,5.05,40877.236,1961.9976,7,out and back,2,4.5,7
10021291,5.0108,39267.896,750.7224,1,point to point,,4.5,10
10017278,4.9978,28485.318,1714.8048,7,out and back,2,5,7
10268598,4.9944,9334.172,142.9512,3,loop,1,4.5,15
10235600,4.9845,7885.766,143.8656,1,out and back,2,3,12
10398395,4.8374,1287.472,29.8704,1,out and back,2,4,14
10235592,4.6675,5149.888,77.724,1,out and back,2,3.5,12
10306312,4.5595,4184.284,36.8808,3,loop,2,4.5,15
10259348,4.557,43774.048,1589.8368,7,point to point,1,4,3
10347292,4.4377,3379.614,205.74,3,out and back,,4.5,10
10258670,4.3741,2414.01,103.9368,1,out and back,1,4.5,5
10272332,4.3654,4345.218,22.86,3,out and back,2,4.5,9
10041333,4.3271,9173.238,159.7152,1,loop,1,4,10
10004062,4.324,7885.766,703.7832,5,out and back,1,4.5,4
10018933,4.2213,4184.284,762.9144,5,out and back,1,4,3
10037999,4.1951,19473.014,1199.9976,5,out and back,1,4,5
10299272,4.1854,9656.04,223.7232,3,loop,2,3.5,15
10111891,4.1242,6759.228,57.912,3,loop,2,3,16
10039029,4.0726,24783.836,1391.7168,5,out and back,1,4.5,3
10263672,4.0376,50855.144,2435.9616,7,point to point,1,5,3
10378554,4.0307,3862.416,67.9704,3,loop,1,4.5,9
10327921,4.0154,11748.182,833.9328,5,out and back,3,5,4
10304376,4.0014,45544.322,1603.8576,5,out and back,2,4.5,3
10272356,3.9609,3057.746,17.9832,1,out and back,1,4,11
10311730,3.9491,6115.492,76.8096,1,loop,1,3.5,15
10028602,3.7293,8368.568,129.8448,1,loop,1,3.5,7
10272764,3.7194,9012.304,139.9032,3,loop,2,4.5,9
10307988,3.6987,6276.426,100.8888,1,out and back,2,5,5
10111287,3.4699,7885.766,69.7992,3,out and back,,3.5,10
10379267,3.2761,35244.546,1748.9424,5,out and back,3,4.5,6
10272205,3.2356,31864.932,1724.8632,3,out and back,2,3,1
10028565,3.2283,15610.598,376.7328,5,point to point,2,4,7
10313180,3.2165,8207.634,57.912,1,loop,2,4,9
10265889,3.0396,57614.372,2731.9224,7,point to point,2,5,2
10236034,2.9406,41842.84,2309.7744,5,out and back,2,4.5,2
10347968,2.8272,10138.842,370.9416,3,out and back,2,5,2
10258658,2.7978,160.934,0,1,out and back,2,3,2
10022546,2.6804,29450.922,1792.8336,7,out and back,1,4.5,2
10267224,2.6464,6276.426,83.82,3,loop,2,4,5
10006893,2.6336,27358.78,721.7664,3,out and back,1,2,1
10009407,2.6173,35888.282,2166.8232,7,out and back,1,4,1
10259364,2.5322,17380.872,991.8192,7,out and back,1,5,1
10014422,2.4438,27036.912,186.8424,5,point to point,2,5,2
10269033,2.443,66465.742,2931.8712,7,point to point,1,5,1
10348524,2.4255,11748.182,203.9112,3,out and back,2,3.5,3
10268788,2.3848,49567.672,2311.908,3,out and back,2,5,1
10268789,2.3739,36371.084,1998.8784,3,out and back,2,5,1
10259359,2.3699,8046.7,541.9344,3,out and back,1,5,2
10272462,2.3582,7081.096,87.7824,3,out and back,1,3,2
10261755,2.33,4345.218,75.8952,3,loop,2,3,2
10394939,2.2593,8207.634,37.7952,3,loop,2,3.5,7
10007969,2.2046,32669.602,503.8344,3,out and back,1,4,1
10366335,2.005,10299.776,377.952,3,loop,,4,4
10453902,1.894,15449.664,839.724,7,point to point,1,4.5,3
10286475,1.8742,35888.282,304.8,3,point to point,2,3,3
10314641,1.8441,8851.37,560.832,3,out and back,2,0,0
10421252,1.7209,19633.948,1180.7952,5,loop,1,4,1
10483525,1.6602,13196.588,109.728,3,point to point,,0,0
10427265,1.6019,46188.058,1982.724,5,out and back,2,4.5,2
10258671,1.5627,2414.01,226.7712,1,out and back,1,0,0
10456484,1.0393,5471.756,55.7784,1,loop,2,5,1
10545419,0,32830.536,941.832,3,loop,2,0,0
10041922,12.9365,20921.42,722.9856,5,loop,2,4,103
10235890,12.1636,3057.746,107.8992,3,loop,2,4.5,104
10264755,11.2556,3862.416,115.824,3,out and back,2,4.5,73
10264753,9.7609,1931.208,116.7384,3,out and back,2,4,75
10039426,8.5459,1931.208,33.8328,3,loop,2,4,57
10007938,8.1484,4345.218,121.92,3,out and back,2,4,53
10267800,7.9948,5310.822,204.8256,1,loop,1,4,56
10017178,7.7461,2092.142,108.8136,1,out and back,2,3.5,64
10235889,7.1485,11426.314,592.836,3,out and back,1,4,22
10354929,5.4308,2092.142,87.7824,3,out and back,2,4.5,22
10264248,5.3992,1126.538,20.7264,1,out and back,1,3.5,23
10291742,5.2795,20599.552,680.9232,7,loop,1,4,10
10307591,5.2031,4667.086,183.7944,3,point to point,1,4,15
10308425,3.7307,2253.076,68.8848,1,loop,2,3.5,15
10367719,3.3401,2092.142,112.776,1,loop,1,4,6
10308451,3.1454,2574.944,123.7488,1,loop,2,3.5,10
10026910,68.1488,10299.776,667.8168,3,loop,3,5,1869
10005895,53.628,11587.248,967.74,7,out and back,3,5,1351
10005585,52.5316,23818.232,1573.9872,7,out and back,3,5,1196
10026952,44.1235,643.736,56.9976,3,out and back,3,4.5,701
10011926,43.3499,1609.34,15.8496,1,loop,3,4.5,925
10027503,38.5795,19794.882,948.8424,5,out and back,3,5,685
10010560,38.2519,12070.05,998.8296,7,out and back,3,5,754
10031426,37.5768,3379.614,138.9888,1,out and back,4,5,577
10033113,37.4664,965.604,71.9328,1,out and back,4,4.5,344
10276593,37.2129,5954.558,406.908,3,out and back,3,5,1107
10011170,37.0218,4828.02,325.8312,3,out and back,3,4.5,917
10235913,34.1675,9012.304,101.8032,1,loop,4,4,622
10026962,32.7913,6437.36,194.7672,3,out and back,2,4.5,496
10028848,32.6439,8207.634,599.8464,5,out and back,3,5,614
10031466,31.6191,13035.654,270.9672,3,out and back,3,5,315
10006090,31.3838,18990.212,887.8824,5,out and back,3,5,315
10031888,30.1796,2896.812,19.812,1,out and back,3,4.5,480
10235992,29.826,1287.472,46.9392,1,out and back,4,4.5,442
10235907,29.4481,804.67,24.9936,1,out and back,3,4.5,455
10027546,28.507,11909.116,495.9096,3,out and back,3,4.5,381
10035554,27.9587,1609.34,34.7472,1,loop,3,4.5,500
10028653,27.694,3701.482,113.9952,1,out and back,3,4.5,297
10033156,27.001,66626.676,2390.8512,5,loop,2,5,189
10031456,26.8115,5149.888,151.7904,1,loop,2,4.5,316
10002863,26.3724,13840.324,472.7448,3,out and back,2,4.5,248
10003872,26.1245,11587.248,312.7248,3,out and back,2,4.5,295
10010871,26.0974,14484.06,297.7896,5,point to point,2,5,207
10013977,25.0432,8690.436,484.9368,5,loop,3,4.5,282
10019827,24.81,1126.538,7.9248,1,out and back,2,4.5,251
10235908,24.7999,2092.142,288.9504,3,out and back,2,4.5,380
10037289,24.4063,16737.136,636.7272,3,out and back,1,5,221
10034036,24.2376,4506.152,188.976,3,out and back,3,4.5,381
10004781,24.0723,326856.954,14029.944,5,point to point,3,4.5,129
10031887,23.7689,11104.446,277.9776,3,loop,3,4.5,358
10012390,23.5256,9012.304,367.8936,3,loop,3,4.5,262
10235922,23.3042,12713.786,666.9024,3,out and back,3,4.5,297
10006688,23.0844,2896.812,2.7432,1,out and back,3,4.5,259
10293225,22.7858,8207.634,341.9856,3,loop,3,5,232
10298575,22.0603,8690.436,669.9504,5,out and back,3,5,286
10274952,21.9301,5310.822,227.9904,3,loop,2,4.5,247
10023775,21.7608,2735.878,48.768,1,loop,3,4,231
10014345,21.5626,28968.12,1920.8496,5,out and back,3,5,123
10033137,21.277,804.67,8.8392,1,loop,2,4.5,242
10013813,21.0807,21726.09,1426.7688,5,out and back,2,4.5,76
10040340,20.9358,23979.166,1238.7072,7,out and back,2,4.5,162
10259802,20.7941,10460.71,674.8272,3,out and back,3,5,127
10235993,20.6906,2092.142,36.8808,1,loop,3,4.5,109
10026955,20.6381,11265.38,390.7536,1,loop,1,5,87
10028648,20.256,7402.964,290.7792,3,out and back,2,4.5,230
10236017,20.2433,4506.152,62.7888,1,out and back,1,4.5,176
10235899,20.2298,321.868,1.8288,1,loop,1,4,217
10236155,19.9753,4345.218,143.8656,3,out and back,2,4.5,242
10261348,19.9437,13679.39,1107.948,5,out and back,1,5,172
10026896,19.7137,5149.888,223.7232,3,out and back,2,4,270
10242664,19.6895,1287.472,88.6968,3,out and back,2,4.5,87
10037534,19.4001,2092.142,22.86,1,loop,3,4.5,250
10036246,19.3999,13035.654,643.7376,3,out and back,2,4.5,141
10029986,19.1894,7724.832,317.9064,5,loop,2,5,197
10032060,19.0574,11265.38,945.7944,5,out and back,2,5,167
10029819,19.0297,6437.36,88.6968,1,loop,1,4.5,93
10035907,18.9167,15288.73,527.9136,3,loop,3,4.5,111
10031884,18.8592,10943.512,74.9808,3,out and back,2,4.5,205
10007086,18.839,94951.06,4716.78,5,point to point,3,5,81
10041400,18.814,27519.714,905.8656,3,out and back,2,5,55
10111782,18.7667,9012.304,582.7776,5,out and back,2,5,103
10004744,18.685,21082.354,986.9424,5,out and back,2,4.5,105
10033119,18.544,5471.756,59.7408,1,out and back,2,4.5,59
10027108,18.4314,12230.984,786.9936,5,out and back,1,5,185
10034011,18.3978,643.736,15.8496,1,out and back,2,4.5,147
10028494,18.2913,3862.416,111.8616,1,loop,2,4.5,160
10026938,18.2809,17541.806,665.988,3,loop,2,4.5,99
10026957,18.2791,2896.812,62.7888,1,loop,2,4.5,118
10258341,18.2277,2896.812,134.7216,3,loop,2,4.5,193
10252968,18.0666,3057.746,76.8096,1,loop,2,4.5,198
10235919,18.0573,3540.548,25.908,1,loop,3,4.5,86
10111890,17.7647,10299.776,363.9312,3,loop,2,4.5,175
10034225,17.7092,44578.718,2858.7192,5,loop,2,4.5,55
10235927,17.689,7885.766,442.8744,3,out and back,2,4.5,112
10027315,17.5667,2574.944,109.728,1,out and back,2,4.5,102
10027540,17.4117,8851.37,423.9768,3,loop,1,4.5,110
10031434,17.3657,19473.014,365.76,3,out and back,2,4.5,93
10033216,17.1872,19312.08,1012.8504,5,out and back,1,4.5,101
10036262,16.8261,33796.14,1349.9592,5,out and back,2,4.5,111
10032041,16.6842,18185.542,775.716,5,out and back,2,4.5,101
10243572,16.6784,32347.734,370.9416,1,loop,3,4.5,115
10011461,16.6571,4667.086,174.9552,3,out and back,3,4.5,140
10006763,16.6277,5954.558,257.8608,3,loop,3,4.5,135
10016234,16.524,5310.822,241.7064,3,out and back,2,5,135
10235911,16.4319,3701.482,317.9064,3,out and back,1,4.5,113
10013938,16.1903,10138.842,539.8008,7,loop,3,4.5,88
10273406,16.0151,3701.482,44.8056,1,loop,2,4,146
10039812,15.968,19955.816,920.8008,5,out and back,2,4.5,94
10259118,15.8916,804.67,33.8328,1,out and back,1,4.5,38
10236157,15.6627,6115.492,237.744,3,out and back,1,4.5,132
10031432,15.5984,643.736,16.764,1,out and back,3,4.5,51
10260204,15.3815,9334.172,332.8416,3,loop,2,4.5,96
10259901,15.1058,3057.746,13.716,1,loop,2,4.5,142
10037318,15.0559,46027.124,2118.9696,5,out and back,1,5,25
10027534,14.952,10460.71,463.9056,3,loop,2,4.5,77
10026939,14.9092,11426.314,412.6992,3,loop,2,4.5,91
10031637,14.7733,7402.964,187.7568,3,out and back,1,4.5,90
10034281,14.6726,5632.69,324.9168,1,out and back,2,4,130
10259433,14.3763,12713.786,549.8592,3,loop,2,4.5,92
10136861,14.2507,28324.384,504.7488,3,out and back,1,4.5,104
10015097,14.2147,1770.274,96.9264,3,out and back,3,4.5,91
10008947,14.2093,8207.634,150.876,3,loop,2,4.5,117
10291879,14.082,2414.01,40.8432,1,loop,2,4.5,100
10414200,14.0674,2574.944,29.8704,1,out and back,2,4.5,123
10035721,14.0568,7885.766,183.7944,1,loop,1,4.5,103
10026944,13.9598,5954.558,173.736,3,out and back,2,4.5,84
10037326,13.9025,13518.456,807.72,5,out and back,2,4.5,51
10269473,13.8899,7563.898,109.728,3,loop,2,4.5,99
10028456,13.8009,6920.162,304.8,1,out and back,2,4,104
10294476,13.5845,482.802,7.9248,1,out and back,2,4.5,101
10022095,13.4062,12230.984,349.9104,3,out and back,1,4.5,51
10294375,13.3331,160.934,5.7912,1,out and back,2,4.5,56
10022595,13.2405,3057.746,68.8848,1,out and back,1,4,83
10034189,13.2334,12391.918,426.72,3,out and back,1,4.5,84
10013268,13.1617,13196.588,592.836,3,loop,2,4.5,58
10381604,13.1348,3218.68,106.9848,1,loop,2,4.5,129
10260515,13.1092,20438.618,1314.9072,5,out and back,2,5,34
10018534,13.0192,21082.354,797.9664,5,loop,1,4.5,49
10017427,12.9552,5632.69,368.808,5,out and back,2,4.5,86
10016528,12.9046,5793.624,383.7432,5,loop,3,4.5,97
10036072,12.8265,3862.416,26.8224,1,out and back,2,4,110
10279543,12.8184,2414.01,85.9536,3,out and back,2,4.5,54
10235925,12.8074,12070.05,306.9336,3,loop,1,4.5,48
10009508,12.7835,6759.228,217.932,3,loop,2,4.5,92
10236037,12.7803,5793.624,234.696,3,out and back,1,4.5,69
10031728,12.7515,25105.704,340.7664,3,out and back,1,4.5,54
10008916,12.7453,134701.758,4503.7248,7,point to point,3,5,15
10112073,12.7401,32508.668,1641.9576,5,out and back,2,4.5,44
10028657,12.6368,10299.776,327.9648,3,out and back,2,4.5,41
10015707,12.5856,8046.7,311.8104,5,out and back,1,4.5,76
10036243,12.5301,11587.248,594.9696,3,out and back,2,4,82
10461398,12.477,34600.81,1588.9224,7,loop,1,4.5,15
10235905,12.4458,3701.482,225.8568,3,out and back,2,4,46
10031465,12.4433,18024.608,1053.9984,5,out and back,2,4.5,35
10027494,12.4204,92858.918,3507.9432,3,loop,1,5,16
10021742,12.3564,1931.208,152.7048,1,loop,2,4.5,53
10026916,12.3443,27680.648,833.9328,3,loop,2,4.5,56
10002434,12.3328,4506.152,151.7904,3,out and back,3,4.5,74
10235928,12.1316,7885.766,256.9464,3,out and back,2,4.5,62
10258447,12.1212,41520.972,1725.7776,5,loop,3,4.5,56
10257832,12.0712,9495.106,208.788,3,loop,3,4.5,81
10257120,12.0193,33796.14,1193.9016,5,out and back,3,5,30
10027530,12.0027,2896.812,71.9328,1,loop,,4.5,76
10305598,11.8881,4184.284,121.92,3,out and back,3,4.5,75
10035725,11.8718,15127.796,727.8624,5,out and back,2,4.5,30
10007611,11.8682,23013.562,1836.7248,5,out and back,2,4.5,39
10259504,11.6882,43774.048,657.7584,3,point to point,2,5,19
10007625,11.6456,6437.36,301.752,3,out and back,3,4.5,88
10026919,11.5511,31543.064,684.8856,7,loop,2,4.5,25
10259676,11.5232,965.604,76.8096,3,out and back,2,4.5,71
10035722,11.5004,2574.944,84.7344,1,loop,2,4.5,74
10029616,11.4699,39106.962,410.8704,3,point to point,2,4.5,102
10270277,11.4265,15610.598,503.8344,1,point to point,3,4.5,55
10026923,11.3622,17380.872,503.8344,3,out and back,2,4.5,62
10258345,11.3538,2253.076,32.9184,1,out and back,,4.5,68
10033115,11.2612,19151.146,544.9824,3,out and back,2,4.5,67
10280627,11.2337,3379.614,65.8368,3,out and back,2,4.5,45
10002313,11.2231,19312.08,615.696,3,point to point,2,5,34
10005777,11.1583,2092.142,97.8408,3,loop,1,4.5,92
10026911,11.1137,34761.744,2081.784,3,point to point,2,4.5,11
10035749,11.102,3218.68,125.8824,1,out and back,2,4.5,56
10304804,11.0914,26232.242,1355.7504,7,loop,2,5,51
10038502,11.0681,16737.136,451.7136,3,loop,2,4.5,36
10026950,11.0661,5471.756,178.9176,1,out and back,3,4.5,25
10038340,11.001,1931.208,17.9832,1,out and back,,4.5,60
10037285,10.9092,19151.146,797.9664,3,out and back,3,4.5,33
10236154,10.9029,3701.482,75.8952,1,loop,1,4.5,41
10028484,10.9023,27519.714,482.8032,3,loop,2,4.5,49
10268965,10.8726,91732.38,4140.708,5,loop,2,5,9
10284283,10.833,8690.436,305.7144,3,out and back,2,4.5,89
10037327,10.7981,7081.096,63.7032,1,loop,,4.5,42
10287617,10.7653,24301.034,1325.88,5,loop,2,5,21
10026905,10.6921,5793.624,74.9808,1,loop,2,4,76
10018535,10.6665,6598.294,228.9048,1,out and back,1,4,76
10026904,10.6501,10621.644,130.7592,1,loop,2,4.5,25
10261197,10.5922,12391.918,591.9216,5,loop,3,4.5,44
10031892,10.54,5471.756,176.784,1,loop,2,4,48
10233574,10.5149,33474.272,1625.8032,3,out and back,2,4.5,15
10027342,10.5092,1126.538,11.8872,1,loop,2,4,50
10036242,10.5029,3218.68,55.7784,1,out and back,2,4.5,40
10271411,10.4936,4184.284,21.9456,1,out and back,2,4,51
10111582,10.3926,10943.512,366.9792,3,out and back,2,4.5,16
10031458,10.3894,8851.37,306.9336,1,out and back,,4,49
10282051,10.3762,643.736,34.7472,1,out and back,2,4,54
10034206,10.2251,4506.152,136.8552,1,loop,1,4.5,67
10298171,10.2144,12874.72,462.9912,3,out and back,2,5,28
10017321,10.1944,965.604,15.8496,1,loop,3,4.5,55
10026964,10.1616,6115.492,491.9472,3,out and back,1,4.5,29
10028846,10.1545,3218.68,300.8376,3,out and back,2,4.5,51
10282040,10.123,965.604,7.9248,1,loop,2,4,56
10021734,10.0672,6276.426,318.8208,3,out and back,1,4.5,53
10041494,10.0461,9173.238,336.804,3,loop,2,4.5,36
10032088,10.0151,14162.192,1042.7208,5,out and back,2,5,21
10041388,9.992,34922.678,1556.9184,3,out and back,1,5,18
10266358,9.985,51177.012,1710.8424,7,loop,1,4.5,58
10024737,9.9652,5632.69,165.8112,3,loop,2,4.5,17
10015881,9.9635,19312.08,436.7784,3,out and back,3,5,20
10026002,9.9513,42325.642,654.7104,5,point to point,2,4.5,49
10304683,9.9187,12552.852,52.7304,3,point to point,2,4.5,70
10269475,9.9175,3701.482,176.784,3,out and back,2,4.5,48
10032051,9.8856,9977.908,85.9536,1,loop,2,4.5,22
10291166,9.8388,60350.25,3397.9104,5,loop,1,5,13
10034341,9.8018,7563.898,246.888,3,out and back,1,4.5,50
10261350,9.7632,3862.416,221.8944,3,out and back,2,4.5,40
10359466,9.6678,30255.592,1515.7704,5,loop,2,4.5,20
10266972,9.6358,18990.212,1290.828,5,out and back,2,4.5,15
10016346,9.5786,12391.918,656.844,3,out and back,2,4.5,35
10292226,9.5661,1126.538,40.8432,1,out and back,2,4.5,44
10263609,9.5317,6115.492,262.7376,3,loop,2,4.5,15
10258337,9.4934,2896.812,171.9072,3,out and back,,4.5,67
10027809,9.482,11748.182,394.716,3,out and back,1,4.5,37
10019938,9.4397,13679.39,569.976,5,loop,2,4.5,32
10040347,9.3777,47636.464,3052.8768,3,out and back,1,5,6
10288963,9.3398,2735.878,47.8536,1,loop,2,4.5,23
10260887,9.3159,3540.548,220.98,1,loop,3,4,47
10034024,9.3132,4828.02,121.92,3,out and back,2,4.5,35
